Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,IDs_sujet,IDs_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,portant,le numéro 7 de Saville - row Burlington Gardens maison,NaN,acl,obj,,8,10,[],"[9, 10, 11, 12, 13, 14, 15, 17, 18, 20]",porter,7,5,PER,0,0,1,[],"['5', '10']","['5', '10']",[],['5'],['5'],['FAC'],True,True,True
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",Sheridan,mourut,en 1814,nsubj,acl:relcl,obl:mod,23,24,26,[23],"[25, 26]",mourir,20,_,_,0,0,1,['77'],[],['77'],[],[],[],[],True,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,En l' année 1872,nsubj:pass,root,obl:mod,7,30,3,"[6, 7]","[1, 2, 3, 4]",habiter,0,20,PER,0,0,1,['5'],[],['5'],[],[],[],[],True,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7,30,32,"[6, 7]","[31, 32, 33, 35, 36]",habiter,0,20,PER,0,0,1,['5'],['0'],"['5', '0']",[],[],[],[],True,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres,nsubj:pass,root,obl:mod,7,30,39,"[6, 7]","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",habiter,0,20,PER,0,0,1,['5'],"['0', '3', '9']","['5', '0', '3', '9']",[],[],[],[],True,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,semblât,NaN,nsubj:pass,advcl,NaN,7,59,,"[6, 7]",[],sembler,30,_,_,0,0,1,['5'],[],['5'],[],[],[],[],True,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,prendre,à tâche,NaN,xcomp,obl:arg,,60,62,[],"[61, 62]",prendre,59,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,faire,NaN,NaN,acl,NaN,,66,,[],[],faire,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,pût,NaN,nsubj,acl:relcl,NaN,67,68,,[67],[],pouvoir,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,attirer,l' attention,nsubj,xcomp,obj,67,69,71,[67],"[70, 71]",attirer,68,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False
